experiment,gateway,run_idx,sweep_key,sweep_val,raw_goodput_s,effective_goodput_s,success,rejected_s0,cascade_failed,p95_ms,e2e_p95_ms,source_csv
Exp6_ScaleConcReact,srl,2,conc,40,57.31,42.85,114,22,64,1834.7,7887.9,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,srl,3,conc,40,56.1,41.53,119,23,58,1848.4,7955.4,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,srl,4,conc,40,56.2,43.02,120,23,57,1850.0,7623.3,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,srl,5,conc,40,56.61,42.06,113,24,63,1831.8,7954.1,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,sbac,1,conc,40,57.34,44.64,99,54,47,1825.1,7282.0,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,sbac,2,conc,40,57.29,43.86,97,59,44,1827.2,7995.4,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,sbac,3,conc,40,57.26,46.37,103,55,42,1816.9,6775.6,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,sbac,4,conc,40,58.19,38.47,89,59,52,1825.0,7314.7,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,sbac,5,conc,40,55.93,39.14,75,67,58,1864.0,8136.4,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,plangate_full,1,conc,40,22.51,22.51,30,170,0,814.1,2887.9,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,plangate_full,2,conc,40,16.34,16.34,30,170,0,809.9,1944.3,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,plangate_full,3,conc,40,19.38,19.38,30,170,0,809.7,2611.0,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,plangate_full,4,conc,40,21.52,21.52,30,170,0,809.7,3261.0,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,plangate_full,5,conc,40,22.14,22.14,30,170,0,809.7,3329.1,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,ng,1,conc,60,54.51,37.44,90,42,68,1842.0,7186.6,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,ng,2,conc,60,56.85,39.35,93,46,61,1861.4,7068.7,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,ng,3,conc,60,56.14,38.34,93,42,65,1865.3,8178.6,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,ng,4,conc,60,55.46,35.77,87,49,64,1880.1,7435.2,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,ng,5,conc,60,56.05,36.43,95,40,65,1846.5,6819.7,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,srl,1,conc,60,55.34,37.73,91,47,62,1815.5,7772.0,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,srl,2,conc,60,57.08,37.56,91,45,64,1854.4,6830.8,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,srl,3,conc,60,54.96,37.45,87,48,65,1863.4,7221.0,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,srl,4,conc,60,56.81,42.25,101,44,55,1846.6,6912.8,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,srl,5,conc,60,53.92,36.52,94,38,68,1868.2,7180.9,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,sbac,1,conc,60,56.86,41.75,82,74,44,1831.0,6843.9,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,sbac,2,conc,60,55.71,37.69,75,76,49,1846.7,6694.4,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,sbac,3,conc,60,54.42,40.7,81,73,46,1848.2,7939.3,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,sbac,4,conc,60,55.71,37.76,78,73,49,1853.6,6991.0,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,sbac,5,conc,60,56.49,40.16,83,68,49,1836.9,6676.7,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,plangate_full,1,conc,60,22.93,22.93,30,170,0,896.2,3395.6,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
Exp6_ScaleConcReact,plangate_full,2,conc,60,18.88,18.88,30,170,0,809.4,2757.9,results/exp6_scaleconcreact/exp6_scaleconcreact_summary.csv
