gateway,run_idx,sweep_key,sweep_val,success,rejected_s0,cascade_failed,raw_goodput,effective_goodput,raw_goodput_s,effective_goodput_s,p50_ms,p95_ms,p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,csv,error
srl,5,ps_ratio,1.0,200,0,0,2124.0,2124.0,63.64,63.64,443.6,1234.4,2577.8,2876.8,5627.2,6296.5,srl_ps_ratio1.0_run5.csv,
rajomon,1,ps_ratio,1.0,27,161,12,408.0,325.0,27.97,22.28,11.9,1162.9,1300.0,3079.3,4900.7,5558.5,rajomon_ps_ratio1.0_run1.csv,
rajomon,2,ps_ratio,1.0,36,150,14,498.0,411.0,38.77,32.0,175.5,1135.2,1318.3,2887.4,5044.8,5194.7,rajomon_ps_ratio1.0_run2.csv,
rajomon,3,ps_ratio,1.0,28,160,12,414.0,330.0,28.31,22.57,34.4,1962.9,3103.0,4431.8,6941.3,7185.1,rajomon_ps_ratio1.0_run3.csv,
rajomon,4,ps_ratio,1.0,27,162,11,402.0,325.0,31.28,25.29,6.7,1158.2,1265.3,2984.8,5142.5,5241.1,rajomon_ps_ratio1.0_run4.csv,
rajomon,5,ps_ratio,1.0,30,154,16,430.0,349.0,33.5,27.19,138.0,1125.2,1273.0,2911.3,5146.2,5255.5,rajomon_ps_ratio1.0_run5.csv,
dagor,1,ps_ratio,1.0,136,50,14,1553.0,1476.0,60.53,57.53,415.1,1282.3,2375.1,3029.5,5935.9,6660.1,dagor_ps_ratio1.0_run1.csv,
dagor,2,ps_ratio,1.0,197,0,3,2111.0,2085.0,62.96,62.18,449.0,1240.3,2117.5,2858.0,5518.1,6638.4,dagor_ps_ratio1.0_run2.csv,
dagor,3,ps_ratio,1.0,200,0,0,2124.0,2124.0,64.42,64.42,443.1,1246.9,2738.4,2999.7,5461.4,6798.8,dagor_ps_ratio1.0_run3.csv,
dagor,4,ps_ratio,1.0,200,0,0,2124.0,2124.0,63.94,63.94,451.1,1257.7,2350.1,2936.4,5378.8,7050.3,dagor_ps_ratio1.0_run4.csv,
dagor,5,ps_ratio,1.0,200,0,0,2124.0,2124.0,64.0,64.0,450.9,1258.1,1810.8,2947.7,5284.6,6264.9,dagor_ps_ratio1.0_run5.csv,
sbac,1,ps_ratio,1.0,200,0,0,2124.0,2124.0,64.31,64.31,454.9,1251.0,1948.5,2995.4,5023.0,6555.9,sbac_ps_ratio1.0_run1.csv,
sbac,2,ps_ratio,1.0,200,0,0,2124.0,2124.0,63.83,63.83,440.8,1251.7,2323.3,2955.0,5239.6,7050.2,sbac_ps_ratio1.0_run2.csv,
sbac,3,ps_ratio,1.0,200,0,0,2124.0,2124.0,64.07,64.07,440.2,1259.2,1924.3,2958.7,5156.2,6892.9,sbac_ps_ratio1.0_run3.csv,
sbac,4,ps_ratio,1.0,200,0,0,2124.0,2124.0,64.97,64.97,439.9,1270.6,2375.7,2917.5,5366.2,6794.9,sbac_ps_ratio1.0_run4.csv,
sbac,5,ps_ratio,1.0,200,0,0,2124.0,2124.0,63.64,63.64,439.3,1218.4,1410.6,2903.8,5018.1,5834.4,sbac_ps_ratio1.0_run5.csv,
plangate_full,1,ps_ratio,1.0,,,,,,,,,,,,,,,[Errno 22] Invalid argument: '/mnt/d/mcp-governance-main/scripts/../results/_gateway_plangate_full_9146.log'
plangate_full,2,ps_ratio,1.0,161,39,0,1653.0,1653.0,63.15,63.15,411.2,1218.8,2821.8,2681.2,5117.1,6198.8,plangate_full_ps_ratio1.0_run2.csv,
plangate_full,3,ps_ratio,1.0,73,127,0,700.0,700.0,51.95,51.95,45.9,814.1,908.1,1297.8,2883.2,3703.0,plangate_full_ps_ratio1.0_run3.csv,
