mode,concurrency,run_idx,total_sessions,success,rejected_s0,cascade_failed,abd_pct,success_rate,rejected_s0_rate,semantic_failure_pct,effective_goodput_s,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,e2e_mean_ms,gw_lat_mean_us,gw_lat_p95_us,cross_node_session_pct,state_miss_count,duplicate_admission_count,max_global_active_sessions,elapsed_s,gateway_traffic
shared_random,60,1,300,58,241,1,1.694915254237288,19.333333333333332,80.33333333333333,0.0,6.140075508378678,3474.111318588257,5993.222951889038,6951.843023300171,3607.0946989388303,497122.9601873536,1482725.0,17.333333333333332,0,0,31,9.44613790512085,"{""http://127.0.0.1:9601"": 178, ""http://127.0.0.1:9602"": 174}"
shared_random,60,2,300,70,229,1,1.408450704225352,23.333333333333332,76.33333333333333,0.0,5.901602068928643,4008.4290504455566,6286.514043807983,6926.87201499939,4037.9291193825857,536509.6471698113,1461926.0,21.333333333333332,0,0,31,11.861186027526855,"{""http://127.0.0.1:9601"": 180, ""http://127.0.0.1:9602"": 184}"
shared_random,60,3,300,69,229,2,2.816901408450704,23.0,76.33333333333333,0.0,6.259643403589323,3148.998737335205,5698.638200759888,6437.0269775390625,3120.836603468743,449746.68518518517,1369684.0,21.333333333333332,0,0,31,11.022992134094238,"{""http://127.0.0.1:9601"": 173, ""http://127.0.0.1:9602"": 191}"
shared_random,60,4,300,72,226,2,2.7027027027027026,24.0,75.33333333333333,0.0,6.229943484887559,3747.980833053589,5903.287172317505,7239.073991775513,3769.029994805654,519954.3866171004,1410849.0,21.333333333333332,0,0,31,11.557087182998657,"{""http://127.0.0.1:9601"": 176, ""http://127.0.0.1:9602"": 188}"
shared_random,60,5,300,61,235,4,6.153846153846154,20.333333333333332,78.33333333333333,0.0,5.949405696671968,3208.3520889282227,5790.360927581787,6535.926103591919,3180.168097136451,475193.1971830986,1386154.0,19.333333333333332,0,0,31,10.253124952316284,"{""http://127.0.0.1:9601"": 176, ""http://127.0.0.1:9602"": 182}"
single,20,1,300,59,241,0,0.0,19.666666666666668,80.33333333333333,0.0,6.604979957170005,1028.9239883422852,3345.16978263855,3724.273920059204,1268.5712474887655,206711.21666666667,831243.0,0.0,0,0,19,8.932653903961182,"{""http://127.0.0.1:9601"": 300}"
single,20,2,300,55,245,0,0.0,18.333333333333332,81.66666666666667,0.0,6.421635035161798,972.4929332733154,2545.941114425659,3008.155107498169,1088.2066770033402,179690.13897280965,804810.0,0.0,0,0,18,8.564796924591064,"{""http://127.0.0.1:9601"": 300}"
single,20,3,300,46,254,0,0.0,15.333333333333334,84.66666666666667,0.0,5.76357120267009,978.0080318450928,2885.4968547821045,2927.424907684326,1169.342217238053,181952.806122449,805325.0,0.0,0,0,17,7.981162786483765,"{""http://127.0.0.1:9601"": 300}"
single,20,4,300,55,245,0,0.0,18.333333333333332,81.66666666666667,0.0,5.150002283812582,1241.3907051086426,2826.335906982422,3617.363929748535,1345.477481321855,212035.3976945245,806073.0,0.0,0,0,15,10.679606914520264,"{""http://127.0.0.1:9601"": 300}"
single,20,5,300,49,251,0,0.0,16.333333333333332,83.66666666666667,0.0,5.8462381774699335,1284.4369411468506,3101.7582416534424,3863.3391857147217,1444.7095978016755,227313.48387096773,884245.0,0.0,0,0,16,8.381458044052124,"{""http://127.0.0.1:9601"": 300}"
single,40,1,300,51,249,0,0.0,17.0,83.0,0.0,5.427406637720262,968.1699275970459,2804.8460483551025,2980.905055999756,1210.8947950250963,191244.91588785045,804798.0,0.0,0,0,14,9.396753072738647,"{""http://127.0.0.1:9601"": 300}"
single,40,2,300,64,236,0,0.0,21.333333333333332,78.66666666666667,0.0,5.91597281074777,1125.053882598877,2987.6959323883057,3941.3490295410156,1379.2968839406967,232302.20899470898,858557.0,0.0,0,0,19,10.818170070648193,"{""http://127.0.0.1:9601"": 300}"
single,40,3,300,68,232,0,0.0,22.666666666666668,77.33333333333333,0.0,5.880282640999645,2351.68194770813,4731.73713684082,5697.149991989136,2490.796190850875,397245.7129411765,1180824.0,0.0,0,0,29,11.564069986343384,"{""http://127.0.0.1:9601"": 300}"
single,40,4,300,59,241,0,0.0,19.666666666666668,80.33333333333333,0.0,6.148950833626041,1768.3329582214355,3404.4229984283447,4392.261981964111,1632.2666184376862,264019.8787878788,937460.0,0.0,0,0,23,9.595132827758789,"{""http://127.0.0.1:9601"": 300}"
single,40,5,300,59,241,0,0.0,19.666666666666668,80.33333333333333,0.0,5.898195794771983,1118.5240745544434,2576.1828422546387,3544.4679260253906,1231.0234611317262,193037.67647058822,805175.0,0.0,0,0,16,10.003058910369873,"{""http://127.0.0.1:9601"": 300}"
single,60,1,300,42,258,0,0.0,14.0,86.0,0.0,4.997315628267719,1633.7029933929443,3222.9249477386475,3432.1300983428955,1591.3301479248773,257131.10038610038,948364.0,0.0,0,0,21,8.404512166976929,"{""http://127.0.0.1:9601"": 300}"
single,60,2,300,67,233,0,0.0,22.333333333333332,77.66666666666667,0.0,7.22050211070259,1312.709093093872,3176.0361194610596,3558.446168899536,1511.1135724765152,263958.9057591623,932614.0,0.0,0,0,20,9.279133081436157,"{""http://127.0.0.1:9601"": 300}"
single,60,3,300,58,242,0,0.0,19.333333333333332,80.66666666666667,0.0,5.616403126434506,2253.127098083496,3389.9550437927246,3944.60391998291,2150.697292952702,318679.6692307692,1002706.0,0.0,0,0,23,10.326894044876099,"{""http://127.0.0.1:9601"": 300}"
single,60,4,300,50,250,0,0.0,16.666666666666668,83.33333333333333,0.0,5.181952801292345,1142.096996307373,2967.3781394958496,3873.8839626312256,1339.0127420425415,203670.0152905199,806486.0,0.0,0,0,18,9.648872137069702,"{""http://127.0.0.1:9601"": 300}"
single,60,5,300,62,238,0,0.0,20.666666666666668,79.33333333333333,0.0,5.936767330850705,2153.643846511841,3313.131809234619,3767.550230026245,1863.4577643486762,297279.7002583979,1005901.0,0.0,0,0,19,10.44339394569397,"{""http://127.0.0.1:9601"": 300}"
